x,y,event_type,timestamp
564.6,870.08,Damage,143.5
57.39,187.72,Death,144.0
816.02,693.09,Damage,144.5
538.81,587.23,Death,145.0
142.16,306.73,Death,145.5
301.12,637.1,Damage,146.0
769.2,903.73,Kill,146.5
913.77,421.11,Kill,147.0
943.88,415.69,Damage,147.5
1000.09,175.43,Death,148.0
65.17,600.61,Damage,148.5
775.77,234.14,Damage,149.0
905.68,49.59,Kill,149.5
746.52,85.47,Death,150.0
840.01,257.32,Damage,150.5
1002.47,183.72,Damage,151.0
440.84,895.08,Damage,151.5
371.39,794.24,Kill,152.0
452.59,630.14,Death,152.5
618.61,951.27,Kill,153.0
157.99,683.96,Death,153.5
144.7,983.07,Death,154.0
762.44,149.86,Death,154.5
522.03,912.95,Death,155.0
323.17,878.24,Death,155.5
854.02,713.51,Death,156.0
525.96,438.85,Kill,156.5
3.8,232.53,Kill,157.0
643.88,291.17,Damage,157.5
959.32,284.52,Damage,158.0
489.19,242.34,Death,158.5
296.31,793.49,Kill,159.0
861.87,502.73,Kill,159.5
355.78,142.72,Death,160.0
106.79,667.24,Damage,160.5
854.31,778.37,Damage,161.0
844.2,863.03,Damage,161.5
459.13,745.91,Damage,162.0
598.13,940.66,Death,162.5
823.23,821.35,Death,163.0
908.26,749.4,Damage,163.5
167.85,29.6,Damage,164.0
325.95,772.97,Kill,164.5
425.31,334.93,Death,165.0
308.32,347.35,Damage,165.5
485.92,832.54,Death,166.0
659.64,498.86,Damage,166.5
241.6,281.46,Damage,167.0
843.84,360.0,Damage,167.5
719.18,252.53,Damage,168.0
419.41,749.4,Death,168.5
597.25,619.08,Death,169.0
407.57,934.66,Death,169.5
63.63,931.33,Death,170.0
342.13,696.45,Death,170.5
423.55,210.19,Kill,171.0
793.85,682.29,Damage,171.5
505.62,550.39,Death,172.0
622.06,193.14,Kill,172.5
527.07,403.1,Damage,173.0
150.23,578.56,Death,173.5
412.13,365.52,Damage,174.0
82.01,729.56,Death,174.5
639.15,591.84,Damage,175.0
409.83,823.72,Kill,175.5
463.22,42.32,Kill,176.0
674.45,588.41,Kill,176.5
548.24,260.56,Kill,177.0
791.45,435.56,Damage,177.5
878.12,942.7,Damage,178.0
913.44,755.75,Kill,178.5
247.92,337.23,Death,179.0
34.31,256.78,Death,179.5
923.0,521.61,Kill,180.0
770.88,756.98,Damage,180.5
86.53,786.13,Damage,181.0
872.94,715.19,Death,181.5
82.22,75.95,Death,182.0
879.18,450.92,Damage,182.5
373.76,898.2,Kill,183.0
449.1,333.59,Death,183.5
870.76,381.21,Kill,184.0
90.01,893.25,Death,184.5
808.89,590.72,Death,185.0
95.43,284.15,Death,185.5
745.36,387.12,Death,186.0
341.42,582.77,Damage,186.5
95.98,189.45,Death,187.0
837.05,616.86,Kill,187.5
1017.88,728.56,Death,188.0
730.05,569.67,Death,188.5
799.39,786.35,Kill,189.0
616.78,977.97,Kill,189.5
225.01,598.14,Damage,190.0
329.83,287.37,Damage,190.5
317.87,599.49,Kill,191.0
105.3,514.72,Damage,191.5
972.73,497.07,Damage,192.0
1015.06,473.0,Kill,192.5
14.34,71.45,Kill,193.0
866.75,389.8,Kill,193.5
640.99,767.6,Kill,194.0
823.49,296.97,Damage,194.5
867.86,484.32,Death,195.0
222.71,560.27,Death,195.5
553.51,661.05,Kill,196.0
30.45,123.91,Death,196.5
645.65,446.71,Kill,197.0
312.69,373.06,Death,197.5
942.29,342.98,Death,198.0
831.88,204.33,Kill,198.5
851.86,496.97,Death,199.0
882.45,395.45,Damage,199.5
325.97,703.27,Kill,200.0
946.06,317.04,Damage,200.5
828.92,768.63,Kill,201.0
858.69,210.15,Death,201.5
612.75,433.05,Kill,202.0
584.1,855.67,Kill,202.5
369.14,746.61,Kill,203.0
405.45,367.43,Kill,203.5
638.42,261.63,Damage,204.0
688.82,661.06,Death,204.5
85.33,446.43,Damage,205.0
533.43,163.31,Death,205.5
710.9,977.83,Kill,206.0
737.78,450.54,Kill,206.5
697.9,160.67,Kill,207.0
1015.6,901.61,Death,207.5
130.59,54.44,Death,208.0
248.91,632.27,Damage,208.5
141.38,845.64,Damage,209.0
930.56,691.35,Death,209.5
775.22,428.48,Death,210.0
308.22,279.68,Death,210.5
875.34,260.76,Kill,211.0
968.52,643.85,Damage,211.5
604.28,624.4,Kill,212.0
701.81,206.79,Damage,212.5
172.25,403.22,Death,213.0
565.74,635.39,Death,213.5
472.47,591.65,Damage,214.0
618.48,414.78,Damage,214.5
829.09,102.92,Damage,215.0
651.12,545.03,Kill,215.5
774.68,866.17,Death,216.0
730.84,947.56,Damage,216.5
105.61,22.71,Damage,217.0
830.4,615.15,Kill,217.5
45.45,262.72,Damage,218.0
1020.77,146.82,Death,218.5
835.4,457.2,Death,219.0
582.36,539.1,Death,219.5
86.69,358.08,Kill,220.0
995.02,37.61,Kill,220.5
991.33,408.31,Kill,221.0
108.54,20.66,Kill,221.5
6.7,473.66,Damage,222.0
775.42,342.82,Death,222.5
932.64,859.3,Death,223.0
695.7,242.68,Death,223.5
206.77,334.91,Death,224.0
415.43,877.61,Kill,224.5
263.96,995.04,Damage,225.0
928.34,976.29,Death,225.5
213.39,371.26,Death,226.0
857.21,135.46,Death,226.5
12.13,789.92,Kill,227.0
385.81,544.0,Kill,227.5
656.08,335.98,Kill,228.0
259.53,870.57,Death,228.5
176.73,112.75,Kill,229.0
196.83,911.83,Death,229.5
69.3,808.71,Death,230.0
216.47,759.1,Damage,230.5
776.56,767.3,Death,231.0
186.71,702.98,Damage,231.5
331.19,626.1,Kill,232.0
66.31,568.7,Damage,232.5
738.78,354.1,Damage,233.0
9.42,375.71,Death,233.5
994.6,226.77,Death,234.0
84.55,97.08,Kill,234.5
387.03,488.54,Damage,235.0
732.81,375.4,Kill,235.5
376.13,1004.23,Damage,236.0
214.53,26.57,Kill,236.5
669.61,705.75,Kill,237.0
414.68,38.55,Damage,237.5
667.67,391.25,Death,238.0
712.65,611.59,Kill,238.5
691.83,634.64,Death,239.0
582.67,876.7,Death,239.5
288.35,208.06,Damage,240.0
191.33,445.36,Kill,240.5
23.01,853.51,Kill,241.0
759.15,62.82,Kill,241.5
365.83,687.52,Damage,242.0
93.87,705.35,Death,242.5
289.96,86.04,Damage,243.0
130.87,170.72,Death,243.5
696.13,40.36,Kill,244.0
283.06,487.48,Kill,244.5
517.7,714.84,Death,245.0
848.77,519.46,Damage,245.5
307.62,1002.25,Damage,246.0
345.63,267.52,Death,246.5
812.29,314.14,Death,247.0
975.64,104.27,Kill,247.5
608.76,19.7,Death,248.0
554.53,533.13,Damage,248.5
608.21,27.82,Kill,249.0
634.43,773.0,Kill,249.5
460.36,572.83,Death,250.0
593.05,777.5,Kill,250.5
369.04,649.25,Kill,251.0
142.03,698.03,Damage,251.5
200.44,494.98,Kill,252.0
638.71,223.64,Kill,252.5
157.26,378.43,Damage,253.0
507.69,465.54,Death,253.5
23.94,113.11,Kill,254.0
871.41,805.98,Damage,254.5
889.41,852.9,Death,255.0
626.46,779.87,Damage,255.5
713.26,893.01,Kill,256.0
921.66,1017.28,Death,256.5
475.83,213.87,Damage,257.0
14.12,654.85,Death,257.5
990.88,327.24,Death,258.0
776.21,861.31,Kill,258.5
313.07,267.19,Damage,259.0
335.33,891.28,Kill,259.5
556.6,507.88,Damage,260.0
564.35,481.88,Kill,260.5
572.33,956.17,Death,261.0
614.09,599.16,Kill,261.5
574.2,326.04,Kill,262.0
997.95,131.22,Damage,262.5
754.8,346.54,Death,263.0
793.17,455.33,Damage,263.5
573.0,370.44,Kill,264.0
67.36,320.62,Damage,264.5
946.91,401.76,Death,265.0
805.71,628.17,Death,265.5
347.87,106.23,Kill,266.0
970.68,605.75,Damage,266.5
771.82,498.1,Damage,267.0
738.98,282.2,Death,267.5
568.46,60.7,Death,268.0
320.4,618.18,Kill,268.5
219.15,1008.43,Death,269.0
532.07,836.16,Death,269.5
279.65,37.73,Kill,270.0
312.94,524.36,Death,270.5
83.65,956.95,Kill,271.0
798.71,355.43,Kill,271.5
332.5,113.48,Damage,272.0
504.85,940.05,Damage,272.5
898.47,757.08,Damage,273.0
723.74,900.54,Damage,273.5
81.17,680.81,Death,274.0
686.77,655.62,Death,274.5
990.33,32.08,Death,275.0
381.46,228.44,Damage,275.5
70.57,893.19,Kill,276.0
984.12,347.15,Damage,276.5
649.97,1023.37,Damage,277.0
872.73,866.45,Kill,277.5
934.85,840.73,Kill,278.0
499.94,100.29,Death,278.5
1015.7,904.16,Damage,279.0
177.49,198.43,Kill,279.5
168.99,36.22,Death,280.0
294.75,550.65,Damage,280.5
597.95,247.75,Death,281.0
672.44,817.37,Death,281.5
711.65,157.25,Death,282.0
788.3,247.86,Damage,282.5
542.39,746.91,Kill,283.0
718.6,420.81,Death,283.5
411.1,924.77,Death,284.0
534.43,166.04,Kill,284.5
743.7,585.83,Damage,285.0
219.68,657.44,Kill,285.5
45.04,740.29,Damage,286.0
661.47,659.0,Damage,286.5
702.12,485.46,Damage,287.0
352.52,292.62,Damage,287.5
752.15,964.23,Damage,288.0
186.4,831.32,Death,288.5
471.18,469.25,Kill,289.0
341.46,819.35,Damage,289.5
374.3,401.9,Damage,290.0
674.68,696.31,Kill,290.5
244.67,200.0,Kill,291.0
442.22,564.79,Damage,291.5
959.55,71.09,Kill,292.0
137.36,681.1,Kill,292.5
402.78,309.59,Kill,293.0
653.01,440.23,Damage,293.5
265.92,122.29,Damage,294.0
19.07,365.01,Damage,294.5
320.43,902.78,Death,295.0
410.14,283.19,Death,295.5
140.35,1022.98,Damage,296.0
270.35,305.95,Death,296.5
955.45,864.61,Damage,297.0
10.86,649.1,Kill,297.5
443.0,666.77,Death,298.0
891.32,549.49,Kill,298.5
900.04,780.09,Kill,299.0
383.01,1009.55,Death,299.5
717.97,176.07,Kill,300.0
588.24,53.4,Damage,300.5
819.88,820.77,Death,301.0
192.44,261.45,Damage,301.5
86.65,493.42,Damage,302.0
72.83,528.58,Death,302.5
458.62,213.54,Damage,303.0
907.55,130.76,Death,303.5
224.47,333.75,Death,304.0
948.05,737.89,Damage,304.5
164.64,648.06,Death,305.0
646.97,291.9,Death,305.5
749.2,208.28,Kill,306.0
958.09,106.3,Death,306.5
795.93,644.29,Death,307.0
495.54,41.17,Death,307.5
836.75,298.37,Damage,308.0
217.93,999.27,Death,308.5
443.98,2.79,Kill,309.0
320.17,478.72,Death,309.5
976.98,527.74,Kill,310.0
151.97,563.33,Death,310.5
88.79,574.38,Kill,311.0
694.01,397.57,Damage,311.5
781.81,724.72,Damage,312.0
59.65,326.92,Damage,312.5
806.93,863.33,Death,313.0
765.41,443.55,Kill,313.5
64.79,163.55,Kill,314.0
76.28,864.68,Death,314.5
933.16,700.25,Damage,315.0
938.15,250.32,Kill,315.5
864.32,242.92,Death,316.0
908.88,328.15,Death,316.5
281.2,658.0,Damage,317.0
171.46,674.22,Death,317.5
44.2,446.41,Death,318.0
680.89,370.57,Death,318.5
624.37,23.06,Kill,319.0
481.28,464.38,Kill,319.5
731.14,731.97,Kill,320.0
719.09,665.42,Damage,320.5
843.35,308.06,Death,321.0
999.6,1014.75,Kill,321.5
863.11,931.63,Damage,322.0
23.28,337.46,Damage,322.5
786.48,112.64,Damage,323.0
607.01,162.35,Death,323.5
1007.19,686.06,Kill,324.0
783.12,626.2,Death,324.5
172.68,243.19,Kill,325.0
899.89,55.91,Damage,325.5
961.23,174.14,Kill,326.0
915.55,897.66,Death,326.5
422.45,310.73,Death,327.0
627.89,732.92,Death,327.5
881.41,490.77,Death,328.0
423.14,766.05,Kill,328.5
118.37,45.1,Death,329.0
499.24,413.49,Kill,329.5
994.54,287.87,Damage,330.0
164.88,152.33,Kill,330.5
441.1,997.7,Damage,331.0
560.5,575.95,Death,331.5
201.84,214.01,Death,332.0
65.89,603.65,Death,332.5
679.7,143.8,Death,333.0
672.69,379.12,Damage,333.5
482.01,151.83,Damage,334.0
829.44,395.25,Damage,334.5
81.26,840.04,Damage,335.0
270.33,24.05,Death,335.5
472.89,224.42,Damage,336.0
541.75,27.08,Damage,336.5
199.81,35.87,Kill,337.0
581.29,529.2,Death,337.5
282.6,707.04,Damage,338.0
366.5,58.48,Death,338.5
509.92,52.45,Kill,339.0
295.37,579.81,Damage,339.5
668.76,158.54,Kill,340.0
184.96,545.66,Death,340.5
509.93,548.79,Kill,341.0
891.66,697.06,Damage,341.5
367.52,540.43,Death,342.0
460.82,813.53,Kill,342.5
111.67,341.85,Death,343.0
946.09,544.09,Damage,343.5
677.32,340.64,Death,344.0
142.26,264.74,Kill,344.5
37.46,253.26,Death,345.0
764.88,490.0,Damage,345.5
389.44,339.96,Damage,346.0
329.82,661.27,Kill,346.5
872.75,685.06,Death,347.0
474.59,500.67,Damage,347.5
423.75,819.57,Kill,348.0
653.02,860.08,Death,348.5
140.04,624.01,Damage,349.0
898.16,771.96,Death,349.5
536.63,897.7,Death,350.0
633.91,666.88,Death,350.5
80.29,983.29,Death,351.0
183.93,193.98,Death,351.5
517.07,854.64,Kill,352.0
237.71,433.9,Death,352.5
1017.61,319.08,Damage,353.0
653.31,736.93,Damage,353.5
734.32,537.92,Death,354.0
824.78,65.74,Damage,354.5
202.78,657.21,Death,355.0
815.88,686.25,Damage,355.5
998.82,300.92,Kill,356.0
423.17,798.92,Death,356.5
794.62,154.02,Damage,357.0
68.6,234.59,Death,357.5
720.39,567.94,Kill,358.0
696.64,533.61,Kill,358.5
676.59,403.61,Kill,359.0
315.65,365.41,Kill,359.5
778.72,981.88,Kill,360.0
765.33,839.08,Death,360.5
963.8,409.75,Damage,361.0
937.45,229.56,Kill,361.5
4.09,256.65,Damage,362.0
329.29,863.12,Death,362.5
699.12,27.74,Damage,363.0
206.69,87.17,Kill,363.5
344.58,499.88,Death,364.0
519.46,178.42,Death,364.5
99.67,355.6,Kill,365.0
243.2,928.33,Damage,365.5
495.31,184.98,Kill,366.0
339.41,270.57,Death,366.5
1015.01,560.88,Damage,367.0
98.39,769.41,Death,367.5
239.98,189.27,Kill,368.0
158.51,993.9,Death,368.5
252.32,477.36,Damage,369.0
757.61,520.13,Death,369.5
92.12,329.65,Damage,370.0
1009.03,687.65,Damage,370.5
270.39,696.95,Damage,371.0
301.63,989.8,Death,371.5
925.92,54.83,Death,372.0
2.95,300.93,Death,372.5
579.91,697.37,Death,373.0
674.71,8.52,Damage,373.5
609.66,297.35,Kill,374.0
800.23,84.12,Kill,374.5
639.44,497.76,Damage,375.0
686.28,678.48,Death,375.5
247.5,907.24,Death,376.0
321.67,815.83,Damage,376.5
970.64,738.04,Kill,377.0
888.61,631.3,Damage,377.5
977.14,1019.62,Kill,378.0
341.33,23.47,Damage,378.5
783.56,592.93,Kill,379.0
972.71,434.26,Kill,379.5
256.75,725.3,Damage,380.0
905.28,927.92,Kill,380.5
601.01,573.69,Death,381.0
652.63,277.74,Death,381.5
245.58,1008.15,Death,382.0
409.79,303.16,Death,382.5
148.5,745.08,Kill,383.0
180.78,667.38,Damage,383.5
748.27,35.71,Kill,384.0
678.37,690.0,Kill,384.5
675.82,303.24,Death,385.0
406.24,235.07,Damage,385.5
510.53,565.64,Damage,386.0
208.11,848.74,Damage,386.5
699.83,598.01,Kill,387.0
639.67,879.71,Damage,387.5
553.82,778.67,Death,388.0
379.16,736.61,Damage,388.5
893.48,719.78,Death,389.0
929.15,709.92,Kill,389.5
729.4,640.87,Death,390.0
898.83,815.23,Death,390.5
957.77,688.83,Damage,391.0
110.8,988.43,Death,391.5
114.78,262.64,Kill,392.0
204.26,446.71,Damage,392.5
157.22,528.03,Kill,393.0
1017.17,966.87,Kill,393.5
420.48,695.83,Death,394.0
453.01,235.77,Kill,394.5
783.31,734.07,Death,395.0
975.01,335.12,Damage,395.5
24.58,1023.26,Death,396.0
729.08,3.46,Damage,396.5
107.23,431.99,Death,397.0
273.76,284.72,Death,397.5
363.97,572.86,Kill,398.0
548.15,414.1,Damage,398.5
782.48,132.94,Kill,399.0
288.26,513.71,Death,399.5
792.89,567.34,Kill,400.0
245.95,1013.78,Death,400.5
918.21,195.73,Damage,401.0
556.36,1003.89,Death,401.5
836.51,56.54,Death,402.0
197.78,712.01,Kill,402.5
305.59,483.75,Damage,403.0
505.99,164.33,Death,403.5
134.47,389.49,Kill,404.0
928.8,608.96,Damage,404.5
80.79,357.04,Death,405.0
839.21,108.95,Death,405.5
589.24,22.55,Death,406.0
411.92,613.14,Damage,406.5
675.75,329.67,Death,407.0
871.91,781.47,Damage,407.5
965.08,954.25,Damage,408.0
1001.21,878.92,Death,408.5
552.23,176.72,Damage,409.0
500.29,248.43,Kill,409.5
932.42,116.4,Kill,410.0
619.42,864.2,Damage,410.5
946.11,105.4,Damage,411.0
637.06,355.39,Death,411.5
20.12,1019.58,Damage,412.0
878.96,74.17,Damage,412.5
612.31,45.79,Kill,413.0
354.96,533.69,Damage,413.5
576.36,72.46,Death,414.0
211.97,832.34,Kill,414.5
133.23,233.41,Damage,415.0
165.31,566.03,Death,415.5
945.32,976.85,Kill,416.0
679.42,510.94,Death,416.5
368.08,655.86,Kill,417.0
972.23,405.09,Kill,417.5
981.87,391.42,Damage,418.0
708.52,600.17,Kill,418.5
125.19,770.7,Death,419.0
646.67,900.04,Death,419.5
718.69,123.51,Death,420.0
712.88,451.47,Death,420.5
629.87,337.01,Damage,421.0
836.35,101.51,Death,421.5
631.4,945.41,Kill,422.0
689.09,976.35,Kill,422.5
336.09,125.61,Damage,423.0
8.3,880.11,Damage,423.5
909.54,922.33,Kill,424.0
228.63,317.79,Kill,424.5
529.2,48.14,Death,425.0
314.87,1007.03,Death,425.5
63.7,747.18,Kill,426.0
380.58,414.25,Damage,426.5
784.98,177.8,Death,427.0
161.71,168.23,Death,427.5
974.83,1005.04,Damage,428.0
750.73,966.2,Kill,428.5
352.32,148.38,Death,429.0
619.51,121.65,Kill,429.5
221.96,781.58,Death,430.0
726.43,87.15,Kill,430.5
270.24,28.28,Kill,431.0
957.54,645.47,Damage,431.5
507.5,678.81,Kill,432.0
569.06,257.82,Kill,432.5
516.94,605.2,Death,433.0
502.85,827.21,Kill,433.5
861.47,757.18,Death,434.0
368.89,4.61,Damage,434.5
1012.5,219.24,Death,435.0
649.01,756.19,Kill,435.5
298.88,50.02,Kill,436.0
354.58,248.94,Kill,436.5
795.1,1022.19,Death,437.0
249.79,18.42,Death,437.5
129.66,216.38,Kill,438.0
394.13,210.46,Kill,438.5
839.48,978.97,Kill,439.0
412.54,515.46,Damage,439.5
522.37,570.09,Damage,440.0
873.47,651.26,Damage,440.5
1014.05,958.09,Death,441.0
251.29,62.55,Death,441.5
503.48,585.54,Damage,442.0
979.89,871.61,Damage,442.5
896.0,157.52,Damage,443.0
556.32,814.18,Kill,443.5
681.22,537.96,Death,444.0
111.48,922.56,Death,444.5
303.01,409.6,Death,445.0
